lat,temperature,humidity,cloudiness,windspeed
-0.74,71.86999999999996,64,0,17.224438000000003
16.17,79.06999999999996,100,75,3.3486991800000006
60.34,37.66999999999996,91,75,8.94776
-1.67,55.70600000000003,94,90,0.48317904
-10.76,80.86999999999996,69,40,13.869028000000002
24.34,79.06999999999996,69,40,18.342908
-3.2,78.87200000000004,76,78,1.9617963800000002
48.82,32.9,35,24,4.608096400000001
34.88,70.26799999999999,77,5,4.697574
-20.41,71.86999999999996,83,75,5.816044000000001
35.37,59.26999999999996,62,75,9.171454
46.68,34.088000000000044,26,0,9.4510715
-34.72,59.21600000000001,58,38,13.34782098
-42.78,61.26799999999999,41,20,8.052984
33.77,70.06999999999996,100,90,4.697574
28.58,75.46999999999997,78,0,4.87429226
-28.77,69.70999999999998,81,98,12.67002816
-33.86,53.86999999999996,100,90,4.697574
-35.17,59.55800000000001,77,100,28.58138238
-33.5,53.86999999999996,93,0,4.697574
-33.64,58.26199999999996,93,90,1.006623
72.79,26.74399999999997,94,100,11.75959358
-15.0,74.03000000000004,18,69,9.151321540000001
-46.28,53.27599999999999,74,100,4.0041226000000005
-25.17,69.08000000000004,78,3,17.8284118
-38.31,46.38200000000002,75,100,11.44418504
-22.09,55.219999999999956,34,0,1.37348116
48.94,46.66999999999996,72,1,2.23694
53.59,56.53399999999999,87,75,11.204832460000002
32.16,72.26600000000002,94,40,2.01995682
-20.21,71.86999999999996,83,75,5.816044000000001
51.1,56.06600000000001,82,100,30.062236660000003
53.39,52.26799999999999,93,90,10.289924
-24.56,71.834,84,55,1.4808542800000002
21.24,71.86999999999996,94,7,3.35541
14.88,79.06999999999996,94,20,6.934514000000001
48.91,32.648000000000025,38,21,6.355146540000001
-22.43,72.30199999999998,80,9,10.36597996
-31.63,49.08200000000002,73,25,0.7941137
3.07,80.56400000000004,77,100,1.1855782000000001
-4.26,83.65999999999998,62,65,7.1067583800000005
50.68,37.148000000000025,77,85,32.3461524
31.42,66.46999999999997,72,20,2.23694
40.54,59.26999999999996,93,0,6.934514000000001
18.55,84.46999999999997,79,40,13.869028000000002
-36.62,45.266000000000005,76,98,8.51826752
11.67,83.82200000000003,75,66,11.24509738
3.87,68.82799999999997,99,88,2.4248429600000003
36.69,64.66999999999996,100,1,4.2278166
5.67,83.48000000000005,70,100,4.63717662
31.8,79.06999999999996,83,55,5.816044000000001
8.58,74.03000000000004,96,99,3.1026357800000004
-37.83,55.66999999999996,87,90,6.934514000000001
2.77,73.68800000000005,96,100,1.54796248
50.26,58.26199999999996,100,100,18.342908
36.55,37.66999999999996,100,75,4.47388
-13.71,65.26400000000004,88,26,10.289924
-17.73,84.46999999999997,70,40,11.408394
64.42,39.469999999999956,86,90,17.89552
37.72,70.06999999999996,88,75,17.224438000000003
-46.19,56.26400000000004,78,100,2.9974996000000003
-5.56,64.868,81,25,10.245185200000002
-15.74,64.66999999999996,59,0,3.35541
-21.55,72.82400000000001,52,0,10.578489260000001
35.03,64.66999999999996,52,75,10.289924
21.05,80.27599999999998,94,75,5.015219480000001
-23.53,88.26799999999999,48,0,10.289924
60.82,37.66999999999996,64,90,10.289924
2.04,79.826,84,28,12.678975920000001
-4.43,71.924,87,82,1.9774549600000002
65.96,39.16400000000003,97,100,8.36168172
25.91,83.26400000000004,74,1,6.934514000000001
13.78,82.45399999999995,79,88,15.672001640000001
57.31,44.61799999999998,85,87,9.294485700000001
57.66,34.06999999999996,86,90,2.23694
65.85,28.616000000000007,91,100,20.90867818
41.2,58.766000000000005,37,29,3.49186334
42.75,57.469999999999956,66,75,10.289924
42.65,48.272000000000034,70,20,3.57239318
29.16,77.28800000000004,43,0,8.605508180000001
-34.53,54.266000000000005,93,0,6.934514000000001
13.8,83.26400000000004,79,28,4.0041226000000005
44.06,64.66999999999996,27,1,5.5140571000000005
50.1,39.469999999999956,93,90,4.697574
22.91,59.306000000000026,98,95,0.8612219000000001
59.66,45.266000000000005,93,100,10.289924
13.0,85.04600000000005,56,100,7.724153820000001
-17.19,51.403999999999954,55,50,1.5300669600000003
68.1,33.27799999999996,92,34,11.408394
41.42,51.15199999999997,85,97,8.53616304
26.54,79.12400000000002,66,62,9.91188114
-1.82,74.39000000000001,91,7,2.9259175200000005
7.98,81.06799999999998,78,18,11.9452596
-17.34,84.77599999999998,26,1,6.375279000000001
7.99,83.066,77,52,11.52247794
61.4,21.685999999999964,89,82,4.67296766
-19.55,79.06999999999996,54,20,13.869028000000002
20.89,86.26999999999995,58,40,18.342908
54.23,39.34399999999997,97,100,2.9863149
43.65,39.55999999999998,24,80,3.914645
-36.71,53.38399999999999,94,100,10.788761620000002
61.13,40.49600000000005,93,97,7.457957960000001
60.72,32.26999999999996,86,90,3.35541
-33.02,63.158,79,0,9.294485700000001
36.85,53.11400000000003,54,100,4.1495237000000005
-15.19,70.77200000000005,84,30,2.0244307000000004
13.18,73.66999999999996,94,75,3.35541
47.66,47.26400000000003,81,90,11.408394
60.55,40.26199999999996,44,90,10.289924
-37.58,62.86999999999996,67,75,10.289924
2.38,67.64000000000001,99,99,2.9348652800000004
-5.67,80.86999999999996,79,85,4.07346774
28.42,68.71999999999997,79,0,10.38163854
58.3,43.06999999999996,86,90,3.35541
62.45,33.27799999999996,80,90,12.750558000000002
9.49,81.26600000000002,75,11,9.51146888
39.4,57.469999999999956,54,56,1.2415017000000002
32.07,56.01199999999996,61,100,6.428965560000001
-0.6,79.84399999999997,80,98,6.243299540000001
8.96,57.469999999999956,62,75,6.934514000000001
63.75,32.26999999999996,90,90,4.697574
68.05,28.45399999999995,88,1,6.697398360000001
10.96,80.86999999999996,78,40,5.2568090000000005
-34.42,58.26199999999996,94,0,4.0041226000000005
43.48,62.27599999999999,82,100,19.461378
0.54,82.83200000000002,72,12,2.64853696
-2.72,70.25,98,0,2.81407052
18.69,87.87200000000004,19,0,8.01048214
21.46,83.87599999999999,74,50,10.00135874
-33.21,57.650000000000006,70,68,13.072677360000002
64.27,37.88599999999997,91,100,12.137636440000001
-53.16,44.86999999999996,70,0,9.171454
54.08,52.26799999999999,100,54,2.23694
20.93,79.06999999999996,69,100,9.171454
69.3,4.243999999999971,91,59,4.6058594600000005
